Tempo:29972; Processos:2; Repeticoes:4000; Tamanho:1000 ; Resultado:1000.000000
Tempo:29472; Processos:2; Repeticoes:4000; Tamanho:1000 ; Resultado:1000.000000
Tempo:27042; Processos:2; Repeticoes:4000; Tamanho:1000 ; Resultado:1000.000000
Tempo:29561; Processos:2; Repeticoes:4000; Tamanho:1000 ; Resultado:1000.000000
Tempo:27016; Processos:2; Repeticoes:4000; Tamanho:1000 ; Resultado:1000.000000
Tempo:27357; Processos:2; Repeticoes:4000; Tamanho:1000 ; Resultado:1000.000000
Tempo:30113; Processos:2; Repeticoes:4000; Tamanho:1000 ; Resultado:1000.000000
Tempo:69602; Processos:2; Repeticoes:1000; Tamanho:10000 ; Resultado:10000.000000
Tempo:68206; Processos:2; Repeticoes:1000; Tamanho:10000 ; Resultado:10000.000000
Tempo:69070; Processos:2; Repeticoes:1000; Tamanho:10000 ; Resultado:10000.000000
Tempo:67975; Processos:2; Repeticoes:1000; Tamanho:10000 ; Resultado:10000.000000
Tempo:84690; Processos:2; Repeticoes:1000; Tamanho:10000 ; Resultado:10000.000000
Tempo:69545; Processos:2; Repeticoes:1000; Tamanho:10000 ; Resultado:10000.000000
Tempo:70021; Processos:2; Repeticoes:1000; Tamanho:10000 ; Resultado:10000.000000
Tempo:69127; Processos:2; Repeticoes:1000; Tamanho:10000 ; Resultado:10000.000000
Tempo:67994; Processos:2; Repeticoes:1000; Tamanho:10000 ; Resultado:10000.000000
Tempo:73239; Processos:2; Repeticoes:1000; Tamanho:10000 ; Resultado:10000.000000
Tempo:138528; Processos:2; Repeticoes:2000; Tamanho:10000 ; Resultado:10000.000000
Tempo:143444; Processos:2; Repeticoes:2000; Tamanho:10000 ; Resultado:10000.000000
Tempo:135923; Processos:2; Repeticoes:2000; Tamanho:10000 ; Resultado:10000.000000
Tempo:139542; Processos:2; Repeticoes:2000; Tamanho:10000 ; Resultado:10000.000000
